"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score"
"921",0,0,0,0,0,0,0,0,0,1,1
"922",0,0,0,0,0,0,0,0,1,0,-1
"923",0,0,0,0,1,0,0,1,0,1,1
"924",0,1,0,0,1,0,1,1,0,1,1
"925",0,1,0,0,1,0,1,1,0,1,1
"926",0,0,0,0,0,0,0,0,0,0,0
"927",0,0,0,0,0,0,0,0,0,0,0
"928",0,0,0,0,1,0,0,2,0,2,2
"929",0,1,0,0,2,0,1,2,0,2,2
"930",0,1,0,0,1,0,1,1,0,2,2
"931",0,0,0,0,0,0,0,0,0,0,0
"932",0,1,0,0,1,0,1,2,0,1,1
"933",0,0,0,0,0,0,0,0,0,0,0
"934",0,1,0,0,1,0,0,1,0,1,1
"935",0,1,0,0,1,0,0,1,0,4,4
"936",0,1,0,0,1,0,1,1,0,1,1
"937",1,1,1,0,1,1,0,1,1,1,0
"938",0,2,0,0,2,0,1,2,0,3,3
"939",0,0,0,0,1,0,0,1,0,1,1
"940",0,1,0,0,0,0,0,0,0,0,0
"941",0,0,0,0,0,0,0,0,0,0,0
"942",0,1,0,0,1,0,1,1,0,1,1
"943",0,1,0,0,0,0,0,0,0,0,0
"944",0,2,1,0,1,0,1,1,1,1,0
"945",0,0,0,0,0,0,0,0,0,1,1
"946",0,1,0,0,1,0,1,1,0,1,1
"947",0,1,0,0,1,0,1,2,0,1,1
"948",0,0,0,0,0,0,0,0,0,0,0
"949",0,1,0,0,1,0,1,1,0,1,1
"950",0,0,0,0,0,0,0,0,0,0,0
"951",0,0,0,0,1,0,1,1,0,1,1
"952",0,0,0,0,0,0,0,0,0,0,0
"953",0,0,0,0,0,0,0,0,0,0,0
"954",0,1,0,0,1,0,1,1,0,1,1
"955",0,1,0,0,1,0,1,1,0,1,1
"956",0,1,0,0,1,0,1,1,0,1,1
"957",0,0,0,0,0,0,0,0,0,0,0
"958",0,2,0,0,2,0,2,3,1,2,1
"959",0,0,0,0,0,0,0,0,0,0,0
"960",0,1,0,0,2,0,1,2,0,3,3
"961",0,2,0,0,1,0,1,1,0,2,2
"962",0,0,0,0,0,0,0,0,0,0,0
"963",0,0,0,0,0,0,0,0,0,0,0
"964",0,1,0,0,1,0,1,1,0,1,1
"965",0,0,0,0,0,0,0,0,0,0,0
"966",0,0,0,0,0,0,0,0,0,0,0
"967",0,0,0,0,0,0,0,0,0,0,0
"968",0,0,0,0,0,0,0,0,0,0,0
"969",0,0,0,0,0,0,0,0,0,0,0
"970",0,1,0,0,1,0,1,2,0,1,1
"971",0,0,0,0,0,0,0,1,0,1,1
"972",0,1,0,0,1,0,1,1,0,1,1
"973",0,1,0,0,1,0,1,1,0,1,1
"974",0,0,0,0,0,0,0,0,0,2,2
"975",0,1,0,0,1,0,1,1,0,1,1
"976",0,1,1,1,1,1,1,1,1,1,0
"977",0,0,0,0,0,0,0,0,0,0,0
"978",0,0,0,0,0,0,0,0,0,1,1
"979",0,0,0,0,0,0,0,0,0,0,0
"980",0,0,0,0,0,0,0,0,0,0,0
"981",0,1,1,0,0,0,0,0,1,0,-1
"982",0,0,0,0,1,0,0,1,0,1,1
"983",0,0,0,0,0,0,0,0,1,0,-1
"984",0,0,0,0,0,0,0,0,0,0,0
"985",0,0,0,0,0,0,0,0,0,0,0
"986",0,0,0,0,0,0,0,0,0,0,0
"987",0,0,0,0,0,0,0,0,1,0,-1
"988",0,0,0,0,0,0,0,0,0,0,0
"989",0,1,0,0,1,0,1,1,0,1,1
"990",0,0,0,0,0,0,0,0,0,0,0
"991",0,0,0,0,0,1,0,1,1,0,-1
"992",0,0,0,0,0,0,0,0,0,0,0
"993",0,0,0,0,0,0,0,0,0,0,0
"994",0,0,0,0,2,0,0,1,0,2,2
"995",0,0,0,0,0,0,0,0,0,0,0
"996",0,0,0,0,1,0,0,1,0,1,1
"997",0,0,0,0,0,0,0,0,0,2,2
"998",0,0,0,0,0,0,0,0,0,0,0
"999",0,0,0,0,0,0,0,0,0,0,0
"1000",1,0,1,1,0,1,0,1,1,0,-1
"1001",0,0,0,0,0,0,0,0,0,0,0
"1002",0,0,0,0,0,1,0,0,1,0,-1
"1003",0,0,0,0,2,0,0,2,0,2,2
"1004",0,1,0,0,1,0,1,1,0,1,1
"1005",0,0,0,0,1,0,0,0,0,1,1
"1006",0,0,0,0,0,0,0,0,0,0,0
"1007",0,0,0,0,0,0,0,0,0,0,0
"1008",0,0,0,0,0,0,0,0,0,0,0
"1009",0,0,0,0,1,0,1,1,0,1,1
"1010",0,2,0,0,1,0,1,1,0,2,2
"1011",0,1,0,0,1,0,1,1,0,3,3
"1012",0,0,0,0,0,0,0,0,0,0,0
"1013",0,0,0,0,0,0,0,0,0,0,0
"1014",0,1,0,0,1,0,1,1,0,1,1
"1015",0,1,0,0,0,0,0,0,1,1,0
"1016",0,1,0,0,1,0,0,1,0,1,1
"1017",0,0,0,0,0,0,0,1,0,1,1
"1018",0,1,0,0,1,0,1,1,0,1,1
"1019",0,0,0,0,0,0,0,0,0,0,0
"1020",0,1,0,0,1,0,1,1,0,1,1
"1021",0,0,0,0,0,0,0,0,0,0,0
"1022",0,0,0,0,0,0,0,0,0,1,1
"1023",0,1,0,0,1,0,1,1,0,1,1
"1024",0,0,0,0,0,0,0,0,0,0,0
"1025",0,0,0,0,0,0,0,0,0,2,2
"1026",0,1,0,0,1,0,1,1,0,1,1
"1027",0,0,0,0,1,0,0,0,0,1,1
