,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,Book
628,0,0,0,0,0,0,0,0,0,0,0,Death
629,0,0,0,0,0,0,0,0,0,0,0,Death
630,0,0,0,0,0,0,0,0,0,0,0,Death
631,0,1,0,0,1,0,1,1,0,1,1,Death
632,0,0,0,0,0,0,0,0,0,0,0,Death
633,0,0,0,0,0,0,0,0,0,0,0,Death
634,0,0,0,0,0,0,0,0,0,0,0,Death
635,0,0,0,0,1,0,0,1,0,1,1,Death
636,0,0,0,0,0,0,0,0,0,0,0,Death
637,0,0,0,0,0,0,0,0,0,0,0,Death
638,0,0,0,1,0,1,0,0,1,0,-1,Death
639,0,0,0,0,0,0,0,0,0,0,0,Death
640,1,1,1,0,0,0,0,0,1,0,-1,Death
641,0,1,0,0,1,0,0,1,0,1,1,Death
642,0,0,0,0,1,0,0,0,0,2,2,Death
643,0,0,0,0,0,0,0,0,0,0,0,Death
644,0,1,0,0,1,0,1,1,0,1,1,Death
645,0,1,0,0,1,0,1,1,0,1,1,Death
646,0,0,0,0,0,0,0,0,0,0,0,Death
647,1,1,1,1,0,1,1,0,1,0,-1,Death
648,0,0,0,0,0,0,0,0,0,0,0,Death
649,0,0,0,0,0,0,0,0,0,0,0,Death
650,1,0,1,0,0,1,0,0,1,0,-1,Death
