,score,Book
1120,-1,Ikigai
1121,3,Ikigai
1122,7,Ikigai
1123,3,Ikigai
1124,3,Ikigai
1125,2,Ikigai
1126,2,Ikigai
1127,3,Ikigai
1128,0,Ikigai
1129,6,Ikigai
1130,6,Ikigai
1131,2,Ikigai
1132,3,Ikigai
1133,1,Ikigai
1134,4,Ikigai
1135,5,Ikigai
1136,5,Ikigai
1137,2,Ikigai
1138,3,Ikigai
1139,2,Ikigai
1140,6,Ikigai
1141,4,Ikigai
1142,2,Ikigai
1143,4,Ikigai
1144,0,Ikigai
1145,0,Ikigai
1146,1,Ikigai
1147,3,Ikigai
1148,5,Ikigai
1149,0,Ikigai
1150,4,Ikigai
1151,1,Ikigai
1152,2,Ikigai
1153,-2,Ikigai
1154,2,Ikigai
1155,2,Ikigai
1156,3,Ikigai
1157,2,Ikigai
1158,1,Ikigai
1159,6,Ikigai
1160,1,Ikigai
1161,3,Ikigai
1162,5,Ikigai
1163,4,Ikigai
1164,1,Ikigai
1165,4,Ikigai
1166,2,Ikigai
1167,2,Ikigai
1168,-1,Ikigai
1169,1,Ikigai
1170,3,Ikigai
1171,5,Ikigai
1172,3,Ikigai
1173,0,Ikigai
1174,5,Ikigai
1175,2,Ikigai
1176,7,Ikigai
1177,2,Ikigai
1178,2,Ikigai
1179,1,Ikigai
1180,2,Ikigai
1181,0,Ikigai
1182,0,Ikigai
1183,2,Ikigai
1184,1,Ikigai
1185,1,Ikigai
1186,5,Ikigai
1187,2,Ikigai
1188,3,Ikigai
1189,2,Ikigai
1190,2,Ikigai
1191,2,Ikigai
1192,4,Ikigai
1193,3,Ikigai
1194,2,Ikigai
1195,6,Ikigai
1196,3,Ikigai
1197,3,Ikigai
1198,1,Ikigai
1199,2,Ikigai
1200,2,Ikigai
1201,3,Ikigai
1202,3,Ikigai
1203,5,Ikigai
1204,-1,Ikigai
1205,4,Ikigai
1206,1,Ikigai
1207,0,Ikigai
1208,2,Ikigai
1209,1,Ikigai
1210,0,Ikigai
1211,0,Ikigai
1212,-2,Ikigai
1213,1,Ikigai
1214,1,Ikigai
1215,2,Ikigai
1216,5,Ikigai
1217,4,Ikigai
1218,2,Ikigai
1219,3,Ikigai
1220,1,Ikigai
1221,0,Ikigai
1222,2,Ikigai
1223,4,Ikigai
1224,1,Ikigai
1225,1,Ikigai
1226,4,Ikigai
1227,2,Ikigai
1228,0,Ikigai
1229,1,Ikigai
1230,3,Ikigai
1231,2,Ikigai
1232,2,Ikigai
1233,1,Ikigai
1234,2,Ikigai
1235,0,Ikigai
1236,3,Ikigai
1237,1,Ikigai
1238,1,Ikigai
1239,2,Ikigai
1240,0,Ikigai
1241,1,Ikigai
1242,1,Ikigai
1243,2,Ikigai
1244,3,Ikigai
1245,4,Ikigai
1246,1,Ikigai
1247,2,Ikigai
1248,3,Ikigai
1249,2,Ikigai
1250,2,Ikigai
1251,2,Ikigai
1252,1,Ikigai
1253,3,Ikigai
1254,0,Ikigai
1255,5,Ikigai
1256,2,Ikigai
1257,4,Ikigai
1258,2,Ikigai
1259,2,Ikigai
1260,1,Ikigai
1261,0,Ikigai
1262,3,Ikigai
1263,3,Ikigai
1264,2,Ikigai
1265,3,Ikigai
1266,0,Ikigai
1267,1,Ikigai
1268,2,Ikigai
1269,-1,Ikigai
1270,2,Ikigai
1271,2,Ikigai
1272,0,Ikigai
